,model,curr_acc,curr_f1,curr_n_samples,ref_acc,ref_f1,ref_n_samples
0,ann,0.52,0.49421257446257444,100,0.12857142857142856,0.08883892540066873,70
1,cnn,0.57,0.5514125874125874,100,0.2,0.1822123978600362,70
2,vit,0.34,0.3078292796384901,100,0.2,0.16363211951447246,70
